ArtikelNummer,Omschrijving,Plato,AlcoholGraad,Eenheid,PrijsInEuroExclusiefTaksen
1010275,7e Gijtje 2.0 24/33cl,10,2.5,24/33cl,29.4
1006372,8 Wired (NZ) Big Smoke 12/50cl,16,6.2,12/50cl,57.53
1006373,8 Wired (NZ) C4 Double Coffee Brown 12/50cl,17,8,12/50cl,65.72
1006374,8 Wired (NZ) Irish Stout 12/50cl,25,10.5,12/50cl,65.75
1006375,8 Wired (NZ) Rewired Brown Ale 12/50cl,15,5.7,12/50cl,57.27
1006376,8 Wired (NZ) Tall Poppy-India Red Ale 12/50cl,17,7,12/50cl,60.09
1006880,Against The Grain Bay And Pepper Your Bretts,16,6.8,12/75cl,104.15
1006881,Against The Grain Brettish Bulldog,17,8.2,12/50cl,64.49
1006882,Against The Grain Mac Fanny Baw,18.5,8.5,12/65cl,88.39
1007276,Alameda Barn Owl Brown,19.8,7.9,12/65cl,50.46
1007275,Alameda Black Bear Stout,19.8,6.8,12/65cl,50.46
1007273,Alameda El Torero IPA 12/65cl,17,7,12/65cl,50.16
1007658,Alameda Klickitat Pale Ale Cans,12.5,5.3,"24/35,5cl",39.39
1007274,Alameda Yellow Wolf IPA 12/65cl,19.8,8.2,12/65cl,50.46
1007659,Alameda Yellow Wolf IPA Cans,19.8,8.2,"24/35,5cl",39.12
1006236,Alaskan Smoked Porter 2008 12/65cl,16.7,6.5,12/65cl,115.21
1006237,Alaskan Smoked Porter 2012/2013 12/65cl,16.7,6.5,12/65cl,67.03
1007307,Ale Smith Anvil ESB,15,5.5,12/65cl,60.6
1007464,Ale Smith Decadence 2014,25.5,10,12/75cl,111.92
1007313,Ale Smith Evil Dead Red,17,6.66,12/65cl,60.61
1007465,Ale Smith Grand Cru Dark BE Strong,21,10.6,12/75cl,103.57
1007466,Ale Smith Horny Devil,19.5,11,12/75cl,103.93
1010877,Ale Smith IPA Cans 24/35.5cl,26.5,7.3,24/47.3cl,67.92
1007311,Ale Smith My Bloody Valentine,18.7,6.66,12/65cl,60.95
1007467,Ale Smith Nut Brown Ale,13,5,12/65cl,61.22
1007472,Ale Smith Old Numbskull - Barley Wine,25,11,12/75cl,103.6
1007473,Ale Smith Olde Ale,10,11,12/75cl,113.28
1008560,Ale Smith Speedway Stout,26.5,12,12/75cl,115.05
1010326,AleSmith Speedway Stout Cans 24/47.3cl,16,12,24/35.5cl,67.43
1007474,Ale Smith Wee Heavy Scotch Ale,24,10,12/75cl,103.96
1007475,Ale Smith X - US Pale Ale,12,5.3,12/65cl,55.93
1008283,Amager Arctic Sunstone,14,6,12/50cl,31.56
1007634,Amager Arizona Beast,16,7,12/50cl,41.56
1007637,Amager Aronia My Love,12.5,5,12/50cl,34.83
1007513,Amager Batch 1000,15,6.5,12/50cl,33.47
1010823,Amager Bees For My Honey 12/50cl,20,9,12/50cl,40.15
1010824,Amager Bordello Bandits 12/50cl,14.25,6.3,12/50cl,30.34
1008285,Amager Brown Boobies Falling,17,7.5,12/50cl,38.33
1008284,Amager Bryggens Blond,12.5,5,12/50cl,28.05
1007638,Amager Building Bridges IPA,16,7,12/50cl,34.84
1007636,"Amager Chad, King of the Wild Yeast",12,5,12/50cl,34.83
1007515,Amager Chr. havn Pale ale,13,5.5,12/50cl,26.79
1006827,Amager Cigar City Orange Crush,12.5,5,12/50cl,49.51
1010827,Amager Cody The Crooked Cop 12/50cl,23,9.5,12/50cl,40.2
1006835,Amager Danish Metal,22,10,12/50cl,60.51
1010828,Amager Darkest Of Suns 12/50cl,14.75,6.5,12/50cl,30.34
1008281,Amager Double Black Mash,34,12,12/50cl,72.9
1010826,Amager Dragor Brown 12/50cl,13,5.5,12/50cl,38.26
1006826,"Amager Envy,Sloth,Winter",14.8,6,12/50cl,45.01
1008282,Amager Faelled,11.5,4.5,12/50cl,28.05
1007516,Amager Forarsbryg,14.5,6.5,12/50cl,26.99
1010829,Amager Game Of Arms 12/50cl,20,8.2,12/50cl,33.51
1007639,Amager Going Old School,16.5,7.5,12/50cl,34.84
1006828,Amager Hr.Frederiksen,22.5,10.5,12/50cl,34.12
1007519,Amager International Men of Mystery,20,8.5,12/50cl,40.46
1006829,Amager IPA/ Wookiee,16,7,12/50cl,30.51
1006831,Amager Julebryg/Sundby,15,6.5,12/50cl,41.63
1007520,Amager Kaaad/Modern IPA,14,6,12/50cl,30.36
1006834,Amager Kentucky Sausage Fest,16.5,7.7,12/50cl,51.77
1010830,Amager La Santa Muerte 12/50cl,27,10,12/50cl,37.38
1007633,Amager Lawrence of arabica,17,7,12/50cl,35.75
1010831,Amager Linda - The Axe Grinder 12/50cl,24,9,12/50cl,40.69
1008287,Amager Lubricated Labrador,20,8.5,12/50cl,40.46
1010832,Amager Mandarina Man 12/50cl,16,7,12/50cl,30.51
1010837,Amager Marianna The Moody MILF 12/50cl,27,10,12/50cl,40.74
1007632,Amager Marry me in Rio,12.5,5,12/50cl,35.95
1010833,Amager Minor Axident 12/50cl,19,8,12/50cl,37.28
1007521,Amager No Rice and Curry,12,5,12/50cl,30.35
1008286,Amager Orange Crush,12.5,5,12/50cl,31.56
1010834,Amager Piping Up For Peace 12/50cl,10.25,4.5,12/50cl,33.79
1010825,Amager Pocketfull of Dollars 12/50cl,16,6.9,12/50cl,34.84
1006830,Amager Pride,27.5,10,12/50cl,40.74
1006833,Amager Shadow Pictures,19.5,8,12/50cl,57.98
1007523,Amager Shadow Pictures,19.5,8,12/50cl,40.46
1007530,Amager Sinner Series Envy,14.5,6.5,12/50cl,30.36
1007517,Amager Sinner series Gluttony,21,9.4,12/50cl,40.25
1007518,Amager Sinner series Greed,11.7,4.6,12/50cl,30.35
1007528,Amager Sinner Series Lust,25,9.2,12/50cl,36.9
1007522,Amager Sinner series Pride,27.5,10,12/50cl,40.49
1007524,Amager Sinner series Sloth,14,6,12/50cl,30.36
1006832,Amager Sinner Series Wrath,15,6.5,12/50cl,49.25
1007526,Amager Sundby Stout,14.25,6.2,12/50cl,26.99
1007527,Amager The Amazing Gotlands Campfire,17,7,12/50cl,36.87
1007635,Amager The Dank Dane,15,6.5,12/50cl,34.63
1010836,Amager The Lady Of Cofitachequi 12/50cl,16,7,12/50cl,30.5
1010835,Amager The Mortician 12/50cl,19,10.5,12/50cl,37.28
1006837,Amager Todd The Axe Man,15,6.5,12/50cl,34.84
1006836,Amager Tulsa Twister,16,7.5,12/50cl,56.01
1007525,Amager Tulsa Twister,16,7.5,12/50cl,40.44
1007946,Amsterdam Brewboys Aestival,12,4.4,24/33cl,34.09
1007944,Amsterdam Brewboys Hop Riot,12.7,4.6,24/33cl,35.44
1007945,Amsterdam Brewboys Ipa,16,6.2,24/33cl,35.51
1007942,Amsterdam Brewboys Pale Ale,14,5.4,24/33cl,34.12
1006238,"Anchor Brekle's B.Ale 24/35,5cl",14.9,6,"24/35,5cl",33.29
1006674,Anchor California Lager,12.4,4.8,"24/35,5cl",29.75
1007442,Anchor IPA,16.5,6.5,"24/35,5cl",32.42
1005542,"Anchor Liberty Ale 24/35,5cl",14.5,5.9,"24/35,5cl",34.99
1005646,"Anchor Old Foghorn 24/35,5cl",22,8.8,"24/35,5cl",49.59
1007437,Anchor Porter,14.6,5.6,"24/35,5cl",34.98
1005913,"Anchor Steam Beer 24/35,5cl",12.4,4.8,"24/35,5cl",34.25
1007433,Anderson Barney Fl. Stout,14.9,5.8,"24/35,5cl",30.8
1007431,Anderson Boont Amber,13.5,5.8,"24/35,5cl",35.3
1007436,Anderson David Triple,20,10,"24/35,5cl",42.64
1007435,Anderson Heelch,18.5,8.7,"24/35,5cl",42.61
1007434,Anderson Hop Ottin,15.8,7,"24/35,5cl",31.39
1007432,Anderson Poleeko Pale Ale,11.5,5,"24/35,5cl",30.78
1007332,B Nektar Meadery Kill All The Golfers,16,6,12/50cl,69.62
1007331,B Nektar Meadery Necromangocon,16,6,12/50cl,63.99
1007333,B Nektar Meadery Slice of Life,15,5.5,12/50cl,54.96
1007488,B Nektar Meadery The Dude's Rug,14,5.5,12/50cl,54
1007489,B Nektar Meadery Zombie Killer,14,5.5,12/50cl,68
1001725,Bad Hair Brewing IPA 24/33cl,16,6.5,24/33cl,34.81
1001722,Bad Hair Brewing Steevug Tripel 12/33cl,16,8,12/33cl,17.48
1010698,Barbar Cuvee Beugel actie 20/33cl,18,8,20/33cl,15.97
1007664,Base Camp Celestial Cans,13,5.1,"24/35,5cl",35.98
1007253,Base Camp Chetco River 12/65cl,15.5,6.8,12/65cl,71.12
1007663,Base Camp Hop In Tha Pool,11.8,4.9,"24/35,5cl",36.28
1007251,Base Camp In Tents IPL 12/65cl,16.5,6.5,12/65cl,52.18
1007252,Base Camp Lost Meridian 12/65cl,12,5,12/65cl,52.13
1007254,Base Camp Northwest Fest 12/65cl,13.8,5.6,12/65cl,52.15
1007661,Base Camp Pilgrimage Saison,14.5,7.1,12/65cl,53.3
1007660,Base Camp Ripstop Rye Pils,13.5,5.7,12/65cl,53.3
1008181,Base Camp S'more Stout,19.2,7.7,12/65cl,53.5
1007662,Base Camp Ultra Gnar IPA Cans,15.4,6.7,"24/35,5cl",35.54
1007076,BBNo 01|06 - Saison-Mutueka&Lime,9.8,5.4,24/33cl,58.88
1007075,BBNo 01|06-Saison-Motueka&Lime,9.8,5.4,12/75cl,59.46
1007077,BBNo 01|09-Saison-Hibiscus&Chamomile,15,5.7,24/33cl,58.62
1007078,BBNo 01|10-Saison - Classic,10.8,5.6,12/75cl,59.46
1007079,BBNo 01|10-Saison - Classic,10.8,5.6,24/33cl,58.88
1008675,BBNo 01|16-Saison-Rakau,9.97,5.5,24/33cl,45.88
1007080,BBNo 03|03- Porter - Traditional,17.3,7,12/75cl,67.33
1007081,BBNo 07|03-Witbier-Elderflower&Lime,11.5,6.5,24/33cl,59.45
1007082,BBNo 07|04-Witbier-Orange&Lemon,11.5,5.2,24/33cl,59.45
1007083,BBNo 08|02-Stout-Imperial,24.3,8.6,12/75cl,70.96
1007084,BBNo 08|03-Stout-Chocolate&Orange,17.5,6.4,24/33cl,66.13
1007085,BBNo 09|03-Brown Ale,16,6.2,24/33cl,59.47
1008676,BBNo 11|15-Session IPA-Amarillo & Mosaic,9.62,3.8,24/33cl,44.44
1007086,BBNo 12|04-Barrel Aged-Traditional Porter,18,8.5,24/33cl,82.06
1008677,BBNo 14|03-Tripel-Ella,17.63,9.5,24/33cl,60.28
1007087,BBNo 16|01-Red Ale-Galena&Bramling,15.9,6.2,12/75cl,66.14
1008678,BBNo 20|01-Belgian Pale-Summer,8.73,4.5,24/33cl,45.31
1009692,"Bear Republic Big Bear Black Stout 24/35,5cl",20,8.1,"24/35,5cl",57.62
1008229,Bear Republic Racer 5 Ipa,17,7.5,"24/35,5cl",53.79
1007117,Beavertown 8 Ball cans,14,6.2,24/33cl,64.39
1007116,Beavertown Black Betty cans,16,7.4,24/33cl,70.58
1007114,Beavertown Gamma Ray cans,12,5.4,24/33cl,61.73
1007115,Beavertown Holy Cowbell cans,12,5.4,24/33cl,59.18
1007119,Beavertown Neck Oil cans,10,4.3,24/33cl,55.15
1007118,Beavertown Smog Rocket cans,12,5.4,24/33cl,61.58
1009589,BeerBliotek 2016 Is So 2015 24/33cl,25,10,24/33cl,66.48
1009590,BeerBliotek Black Ale Chili 24/33cl,19,7.6,24/33cl,58.13
1009591,BeerBliotek Black IPA 24/33cl,17.2,6.9,24/33cl,58.09
1009592,BeerBliotek Eternal Darkness 24/33cl,27.5,11,24/33cl,70.63
1009593,BeerBliotek Hip Hops IPA cans 24/33cl,17.2,6.9,24/33cl,58.09
1010082,BeerBliotek Kilos Of Cookie Cans 24/33cl,21.5,9,24/33cl,68.18
1010081,BeerBliotek Mocha Latte Stout 24/33cl,20,8,24/33cl,71.83
1009594,Beerbliotek Session IPA Cans 24/33cl,8.7,3.5,24/33cl,49.65
1009595,BeerBliotek Single Hop Mosaic cans 24/33cl,16.25,6.5,24/33cl,58.04
1008252,Belgo Sapiens Blanche de Thines,11,4.8,24/50cl,33.77
1008254,Belgoo Sapiens Colonel Arch,14,6,24/50cl,34.9
1008253,Belgoo Sapiens Polarius,12,5,24/50cl,33.44
1008255,Belgoo Sapiens Ptit Granit,14,4.9,24/50cl,34.17
1009290,"Bells Expedition Stout 24/35,5cl",21,10.5,"24/35,5cl",69.09
1009289,"Bells kalamazoo Stout 24/35,5cl",16.5,6,"24/35,5cl",45.36
1009288,"Bells two hearted ale 24/35,5cl",16.8,7,"24/35,5cl",45.36
1001904,Belzebuth 24/25cl,18,13,24/25cl,33.2
1010276,Billy's Brew Natte Gijt 24/33cl,16,7,24/33cl,31.85
1006320,Birrificio Del Ducato IPA 18/33cl,15,6.5,18/33cl,33.39
1006532,Birrificio Elav Aeresis 24/33cl,15,6,24/33cl,38.87
1006533,Birrificio Elav Aeresis 6/75cl,15,6,6/75cl,26.1
1007710,Birrificio Elav Celtic,10.75,4.5,24/33cl,37.17
1006534,Birrificio Elav Dark Metal 24/33cl,21.25,8.5,24/33cl,54.04
