Datum,Klantennummer,Artikelnummer,IsLeeggoed,Omschrijving,AantalGeboekt,Basiseenheid,OmzetInEuroNaKorting,TotaleKorting
2016-09-15,102432,1001428,false,"Boon Oude Gueuze 12/37,5cl",12,FLES,14.81,0
2016-09-15,102432,1001672,false,Blanche De Namur 24/33cl,432,FLES,245.04,0
2016-09-15,102432,1001752,false,Achel Bruin 24/33cl,48,FLES,45.45,0
2016-09-15,102432,1001756,false,Trappiste 12 24/33cl,48,FLES,299.2,0
2016-09-15,102432,1001757,false,Trappiste 6 24/33cl,48,FLES,259.36,0
2016-09-15,102432,1001758,false,Trappiste 8 24/33cl,48,FLES,263.25,0
2016-09-15,102432,1001795,false,Steenbrugge Tripel 24/33cl,48,FLES,43.76,0
2016-09-15,102432,1001796,false,Achel blond 24/33cl,48,FLES,45.45,0
2016-09-15,102432,1001837,false,Biere de Miel bio 24/25cl,48,FLES,38.13,0
2016-09-15,102432,1001844,false,La Binchoise Biere Des Ours 24/33cl,48,FLES,45.05,0
2016-09-15,102432,1001915,false,Caracole Nostradamus 24/33cl,48,FLES,47.22,0
2016-09-15,102432,1002010,false,Ename blond 24/33cl,48,FLES,42.31,0
2016-09-15,102432,1002011,false,Ename Dubbel 24/33cl,48,FLES,42.72,0
2016-09-15,102432,1002063,false,Gulden Draak 24/33cl,48,FLES,41.16,0
2016-09-15,102432,1002124,false,Karmeliet Tripel 24/33cl,1680,FLES,1404.24,0
2016-09-15,102432,1002296,false,Scheldebrouwerij Oesterstout 24/33cl,48,FLES,42.16,0
2016-09-15,102432,1002297,false,Orval 24/33cl,120,FLES,117.32,0
2016-09-15,102432,1002319,false,Pater Lieven Blond 24/33cl,48,FLES,35.83,0
2016-09-15,102432,1002320,false,Pater Lieven Donker 24/33cl,48,FLES,35.83,0
2016-09-15,102432,1002321,false,Pater Lieven Tripel 24/33cl,48,FLES,46.63,0
2016-09-15,102432,1002329,false,Piraat 24/33cl,48,FLES,39.34,0
2016-09-15,102432,1002337,false,Petrus Aged Pale 24/33cl,48,FLES,49.4,0
2016-09-15,102432,1002355,false,Rodenbach Grand Cru 24/33cl,48,FLES,46.22,0
2016-09-15,102432,1002382,false,Scotch De Silly 24/33cl,48,FLES,36.94,0
2016-09-15,102432,1002478,false,Urthel Samaranth 24/33cl,48,FLES,43.93,0
2016-09-15,102432,1002501,false,Val-Dieu Brune 24/33cl,48,FLES,46.82,0
2016-09-15,102432,1002540,false,De Ranke XX-Bitter 24/33cl,48,FLES,39.11,0
2016-09-15,102432,1002587,false,G.Carolus Hopsinjoor 24/33cl,48,FLES,43.65,0
2016-09-15,102432,1004463,false,La Chouffe 24/33cl,1200,FLES,1093.04,0
2016-09-15,102432,1004464,false,Mc Chouffe 24/33cl,1680,FLES,1530.26,0
2016-09-15,102432,1004471,false,Buffalo Belgian Bitter 24/33cl,48,FLES,48.81,0
2016-09-15,102432,1004820,false,La Chouffe Houblon 24/33cl,72,FLES,76.51,0
2016-09-15,102432,1005201,false,Zwet.be 24/33cl,48,FLES,71.44,0
2016-09-15,102432,1005517,false,Duvel Tripel Hop 24/33cl,48,FLES,52.99,0
2016-09-15,102432,1005707,false,Trappist Mont Des Cats 24/33cl,48,FLES,77.41,0
2016-09-15,102432,1006166,false,Emelisse Imperial Russian Stout 12/33cl,24,FLES,40.01,0
2016-09-15,102432,1006778,false,To Ol Grätze Mille Grodziskie 24/33cl,48,FLES,91.66,0
2016-09-15,102432,1006788,false,To Ol Fuck Art This Is Advertising 24/33cl,24,FLES,52.6,0
2016-09-15,102432,1008303,false,De Molen Trots & Tevreden 24/33cl,48,FLES,77.24,0
2016-09-15,102432,1008325,false,Mikkeller Porter 24/33cl,24,FLES,45.9,0
2016-09-15,102432,1008750,false,De Molen Dag & Dauw 24/33cl,48,FLES,72.22,0
2016-09-15,102432,1008751,false,De Molen Blood Orange Ipa 24/33cl,48,FLES,72.77,0
2016-09-15,102432,1008842,false,Mikkeller Not Just Another Wit Imperial Witbier 24,48,FLES,90.58,0
2016-09-15,102432,1008866,false,Mikkeller Citra Session IPA 24/33cl,48,FLES,90.12,0
2016-09-15,102432,E450,true,"Leeggoed € 4,50",257,STUK,822.4,0
2016-09-15,102432,E635,true,"Leeggoed € 6,35",2,STUK,6.4,0
2016-09-15,102432,E700,true,"Leeggoed € 7,00",8,STUK,25.6,0
2016-09-15,102432,E800,true,Leeggoed € 8,2,STUK,6.4,0
2016-09-15,102072,1001294,false,Mort Subite Glas,12,STUK,0,0
2016-09-15,102072,1001298,false,Hommelbier Glas,6,STUK,0,0
2016-09-15,102072,1001427,false,Boon Oude Gueuze 24/25cl,72,FLES,49.43,0
2016-09-15,102072,1001428,false,"Boon Oude Gueuze 12/37,5cl",24,FLES,29.62,0
2016-09-15,102072,1001819,false,Bush Ambrée 24/33cl,144,FLES,132.62,0
2016-09-15,102072,1001961,false,Duvel 24/33cl,240,FLES,198.69,0
2016-09-15,102072,1002041,false,Gageleer 24/33cl,72,FLES,68.27,0
2016-09-15,102072,1002063,false,Gulden Draak 24/33cl,72,FLES,61.74,0
2016-09-15,102072,1002108,false,Hoegaarden Wit Perfect Draft 6L,5,STUK,61,0
2016-09-15,102072,1002163,false,Leffe Blond 24/33cl,120,FLES,90.75,0
2016-09-15,102072,1002183,false,Leffe Donker 24/33cl,72,FLES,54.18,0
2016-09-15,102072,1002248,false,Maredsous 6 Blond 24/33cl,48,FLES,35.41,0
2016-09-15,102072,1002252,false,Maredsous 8 Bruin 24/33cl,48,FLES,40.13,0
2016-09-15,102072,1002275,false,Moeder Overste 24/33cl,72,FLES,59.17,0
2016-09-15,102072,1002342,false,Petrus Oud Bruin 24/33cl,72,FLES,45.9,0
2016-09-15,102072,1002359,false,Rochefort 8 24/33cl,72,FLES,70.01,0
2016-09-15,102072,1002530,false,Westmalle Tripel 24/33cl,120,FLES,108.26,0
2016-09-15,102072,1003189,false,Stella Artois perfect draft 6L,5,STUK,63.11,0
2016-09-15,102072,1004879,false,Gruut Wit 24/33cl,72,FLES,44.76,0
2016-09-15,102072,1005414,false,Gulden Draak Quadruple 24/33cl,72,FLES,65.65,0
2016-09-15,102072,1005517,false,Duvel Tripel Hop 24/33cl,120,FLES,132.47,0
2016-09-15,102072,E450,true,"Leeggoed € 4,50",61,STUK,213.4,0
2016-09-15,102072,E500,true,"Leeggoed € 5,00",10,STUK,50,0
2016-09-15,102072,E700,true,"Leeggoed € 7,00",3,STUK,9.6,0
2016-09-15,100221,E450,true,"Leeggoed € 4,50",-56,STUK,-252,0
2016-09-15,101936,1001428,false,"Boon Oude Gueuze 12/37,5cl",36,FLES,44.43,0
2016-09-15,101936,1001435,false,Boon Kriek 12/37.5cl,24,FLES,32.8,0
2016-09-15,101936,1001438,false,Boon Gueuze Mariage Parf. 12/37.5cl,12,FLES,19.84,0
2016-09-15,101936,1001439,false,Boon Gueuze Mariage Parf. OW 12/75cl,12,FLES,40.25,0
2016-09-15,101936,1001492,false,Hanssens gueuze 12/75cl,12,FLES,40.26,0
2016-09-15,101936,1001498,false,"Lindemans Gueuze 12/37,5cl",24,FLES,18.36,0
2016-09-15,101936,1001500,false,Lindemans Apple 24/25cl,24,FLES,11.99,0
2016-09-15,101936,1001507,false,Lindemans Faro 24/25cl,24,FLES,10.92,0
2016-09-15,101936,1001508,false,"Lindemans Faro 12/37,5cl",12,FLES,9.53,0
2016-09-15,101936,1001512,false,"Lindemans Kriek 12/37,5cl",24,FLES,24.57,0
2016-09-15,101936,1001518,false,Mort Subite Gueuze 20/37.5cl,20,FLES,25.94,0
2016-09-15,101936,1001528,false,"Oud Beersel Gueuze 12/37,5cl",12,FLES,26.8,0
2016-09-15,101936,1001529,false,Oud Beersel Gueuze 12/75cl,12,FLES,50.01,0
2016-09-15,101936,1001549,false,Timmermans Framboise 24/25cl,24,FLES,18.23,0
2016-09-15,101936,1001552,false,Timmermans Kriek 24/25cl,24,FLES,15.29,0
2016-09-15,101936,1001557,false,Timmermans Peche 24/25cl,24,FLES,18.24,0
2016-09-15,101936,1001562,false,"Lindemans Gueuze Cuvée René 12/37,5cl",12,FLES,15.25,0
2016-09-15,101936,1001646,false,Jupiler 24/25cl,96,FLES,33.53,0
2016-09-15,101936,1001672,false,Blanche De Namur 24/33cl,24,FLES,13.61,0
